gtin;descricao;marca;ncm;ncm_descricao;gpc;gpc_descricao;categoria;categoria_id;categoria_pai_id;peso_liquido;peso_bruto;preco_medio;preco_min;preco_max;gtins_alternativos;thumbnail;criado_em;atualizado_em;fontes
40534695;CERVEJA CLAUSTHALER CLASSIC S/ALCOOL;;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-19T00:34:00.000-03:00;ncm:22030000
41024355;CERVEJA PILSEN BITBURGER LATA 500ML;PACERS;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;4102430002404;https://cdn-cosmos.bluesoft.com.br/products/41024355;2014-04-24T11:07:34.000-03:00;2026-08-19T00:37:04.000-03:00;ncm:22030000
50196166;WHISKY BLACK & WHITE;;22083020;Em embalagens de capacidade inferior ou igual a 2 l;;;Whisky;147;69;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/50196166;2014-04-24T11:07:34.000-03:00;2026-05-27T21:18:13.000-03:00;ncm:22083020
75032715;CORONA EXTRA;CORONA;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;7501064194177|7501064191299;;2014-04-24T11:07:34.000-03:00;2026-07-29T02:04:09.000-03:00;ncm:22030000
78912854;CACHAÇA 29 GARRAFA 600ML;;22084000;Rum e outras aguardentes provenientes da destilação, após fermentação, de produtos da cana-de-açúcar;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/78912854;2014-04-24T11:07:34.000-03:00;2026-09-11T19:19:18.000-03:00;ncm:22084000
78929203;CERVEJA CERPA TIJUCA PREMIO L NECK;TIJUCA;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Especiais;204;203;;;;0.0;0.0;7896388000595|7896388000588;https://cdn-cosmos.bluesoft.com.br/products/78929203;2014-04-24T11:07:34.000-03:00;2026-05-14T11:17:36.000-03:00;ncm:22030000
9125002135;ANDERSON VALLEY HEELCH O'HOPS DOUBLE IPA;;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/9125002135;2014-04-24T11:07:34.000-03:00;2026-05-14T12:42:54.000-03:00;ncm:22030000
16697000292;CHARDONNAY SONOMA CUVEE;EL GUAPO;22042910;Vinhos;;;Vinhos;74;65;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/16697000292;2015-09-16T23:04:50.000-03:00;2021-10-17T07:07:30.000-03:00;ncm:22042910
16697006669;PINOT NOIR;;22042910;Vinhos;;;Vinhos;74;65;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/16697006669;2015-09-16T20:10:20.000-03:00;2023-05-30T10:10:17.000-03:00;ncm:22042910
27484310210;LICOR NOCELLO C/EXPRESSO;;22042100;Em recipientes de capacidade não superior a 2 l;;;;;;1;1;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2021-10-05T05:08:50.000-03:00;ncm:22042100
80432403020;WHISKY GLEN GRANT 1L;;22083020;Em embalagens de capacidade inferior ou igual a 2 l;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/80432403020;2014-04-24T11:07:34.000-03:00;2026-04-19T08:45:38.000-03:00;ncm:22083020
80516135342;SOFT ROSE WINE;;22059000;Outros;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/80516135342;2014-04-24T11:07:34.000-03:00;2025-11-18T09:07:20.000-03:00;ncm:22059000
80686816157;WHISKY CANADIAN CLUB;;22083020;Em embalagens de capacidade inferior ou igual a 2 l;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/80686816157;2014-04-24T11:07:34.000-03:00;2025-12-25T06:24:56.000-03:00;ncm:22083020
81054594301;CALIFORNIA SHIRAZ 2002;;22042910;Vinhos;10000273;Vinho - Fortificado;Vinhos;74;65;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/81054594301;2015-09-16T19:29:03.000-03:00;2022-01-04T12:49:02.000-03:00;ncm:22042910
81054594400;CALIFORNIA CHARDONNAY 2002;;22042910;Vinhos;10000273;Vinho - Fortificado;Vinhos;74;65;;;;0.0;0.0;10081054594407;https://cdn-cosmos.bluesoft.com.br/products/81054594400;2015-09-16T21:49:51.000-03:00;2021-10-17T07:07:29.000-03:00;ncm:22042910
82184245163;WHISKY JACK DANIELS 1L C/LATA;;22083020;Em embalagens de capacidade inferior ou igual a 2 l;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2025-06-30T16:15:10.000-03:00;ncm:22083020
88586000720;CABERNET SAUVIGNON VALLEY;CREST;22042100;Em recipientes de capacidade não superior a 2 l;;;Vinhos;74;65;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/88586000720;2014-04-24T11:07:34.000-03:00;2024-08-13T21:54:55.000-03:00;ncm:22042100
88586001109;TWO VINES MERLOT;;22042100;Em recipientes de capacidade não superior a 2 l;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/88586001109;2014-04-24T11:07:34.000-03:00;2025-04-15T03:19:57.000-03:00;ncm:22042100
89627126508;VINHO AMER CONCANNON CAB SAUVIGNON;HERBAL CONCEPTS;22042100;Em recipientes de capacidade não superior a 2 l;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/89627126508;2014-04-24T11:07:34.000-03:00;2023-01-13T04:49:21.000-03:00;ncm:22042100
752183089166;VINHO BLEASDALE LANGHORNE;;22082000;Aguardentes de vinho ou de bagaço de uvas;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2023-01-24T02:16:52.000-03:00;ncm:22082000
758442031761;ESPUM NAC GEORGES AUBERT MOSCATEL;;22041010;Tipo champanha (champagne);;;;;;;;;0.0;0.0;60758442031770;;2014-04-24T11:07:34.000-03:00;2024-08-13T01:33:31.000-03:00;ncm:22041010
758442032591;CHAMP GEORGES AUBERT PROSECCO;;22043000;Outros mostos de uvas;;;;;;750;788;;0.0;0.0;60758442032593;;2014-04-24T11:07:34.000-03:00;2024-08-14T19:06:44.000-03:00;ncm:22043000
781597236002;FILTRADO ROSSONI MIL.BCO 660ML;ROSSONI;22043000;Outros mostos de uvas;;;;;;;;;0.0;0.0;;;2016-04-06T02:10:55.000-03:00;2021-10-17T07:07:48.000-03:00;ncm:22043000
781597246001;FILTRADO ROSSONI MIL.ROSAD.660;;22043000;Outros mostos de uvas;;;;;;;;;0.0;0.0;;;2016-04-06T01:56:28.000-03:00;2021-10-17T07:07:46.000-03:00;ncm:22043000
3024480007578;COGNAC REMY MARTIN FINE C/2 CP;;22041010;Tipo champanha (champagne);;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-07-23T20:51:13.000-03:00;ncm:22041010
3035131780108;ESPUM FRA BARTON&G BRUT CHARDONNAY;;22041090;Outros;;;;;;;;;0.0;0.0;3035131112916;;2014-04-24T11:07:34.000-03:00;2026-07-23T20:52:16.000-03:00;ncm:22041090
