inicio;fim;responsavel;consultas_feitas;paginas_concluidas;produtos_baixados;motivo_parada;alertas;paginas_restantes;dias_previstos
2026-09-16T00:44:13Z;2026-09-16T00:44:24Z;PILAR;24;24;612;limite;;1373;58
2026-09-16T01:47:36Z;2026-09-16T01:47:36Z;PILAR;0;0;0;limite;nenhuma consulta feita: janela de cota ainda cheia;1373;60
2026-09-16T01:50:34Z;2026-09-16T01:50:34Z;PILAR;0;0;0;limite;nenhuma consulta feita: janela de cota ainda cheia;1373;60
2026-09-16T01:50:43Z;2026-09-16T01:50:43Z;PILLY;1;0;0;429;;1373;60
2026-09-16T01:54:42Z;2026-09-16T01:54:43Z;PILAR;2;1;30;429;;1372;60
2026-09-16T01:54:51Z;2026-09-16T01:54:52Z;PILLY;1;0;0;429;;1373;60
2026-09-17T02:00:30Z;2026-09-17T02:00:42Z;PILAR;23;23;690;limite;;1349;59
2026-09-17T02:00:51Z;2026-09-17T02:01:04Z;PILLY;23;23;690;limite;;1349;59
2026-09-17T02:01:20Z;2026-09-17T02:01:32Z;DOUGLAS;23;22;660;429;;1350;59
2026-09-17T02:45:51Z;2026-09-17T02:45:52Z;PILAR;3;2;60;429;;1347;59
2026-09-17T02:46:04Z;2026-09-17T02:46:05Z;PILLY;3;2;60;429;;1345;59
2026-09-17T02:46:14Z;2026-09-17T02:46:16Z;DOUGLAS;4;3;90;429;;1342;59
